mix_id,sir_level_db,overlap_ratio,target_transcript,pred_transcript,wer,cer,leakage_rate
mix_librispeech_11053,0,1.0,through the black night rain he sang to her window bars,through the bill and not in the name of the media he sang to the furned great beep,1.1818181818181819,0.7636363636363637,0.15384615384615385
mix_librispeech_01792,5,0.1,in this monotonous life of mine that was a pleasant event,in this monotonous life of mine that was a pleasant event,0.0,0.0,0.0
mix_librispeech_03797,0,1.0,conseil was my manservant,costs and what is my next request,1.5,0.8,0.05555555555555555
mix_librispeech_03368,5,1.0,now let us dust the furniture and pictures,now let us just the furniture and picture,0.25,0.047619047619047616,0.0
mix_librispeech_07196,0,1.0,i like you still rachel i am sure i will always like you,i do not like it i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am sure i am,25.23076923076923,19.160714285714285,0.0
mix_librispeech_12054,0,0.4,proscribed by the civil and ecclesiastical powers of the empire the donatists still maintained in some provinces particularly in numidia their superior numbers and 400 bishops acknowledged the jurisdiction of their primate,prescribed by the civil and ecclesiastical powers of the empire the donut the head of the real maintained in some provinces particularly in the media the raised here in their numbers and 400 bishops acknowledged the jurisdiction of their primate,0.4375,0.18018018018018017,0.08
mix_librispeech_05109,0,0.3,his death in this conjuncture was a public misfortune,the death in this conjuncture was a public mis fortune,0.3333333333333333,0.07547169811320754,0.125
mix_librispeech_06024,0,0.5,no thanks i am glad to give you such easy happiness,no thanks i am glad to give you such easy happiness,0.0,0.0,0.0
mix_librispeech_08795,0,0.3,the utility of consumption as an evidence of wealth is to be classed as a derivative growth,the utility of consumption as an evidence of wealth is to be passed as a derived growth,0.11764705882352941,0.07692307692307693,0.0
mix_librispeech_11248,0,0.2,uncas who had already approached the door in readiness to lead the way now recoiled and placed himself once more in the bottom of the lodge,onicus who had already approached the door and readiness to lead the way now recoiled and placed himself once more in the bottom of the law,0.11538461538461539,0.06474820143884892,0.0
mix_librispeech_11609,5,0.4,relocated footnote governor robinson being on his way east the steamboat on which he was traveling stopped at lexington missouri,relocated but not governor robin has been hitting on his way east the steamboat on which he was traveling stopped at lexington missouri,0.3,0.125,0.0
mix_librispeech_00126,5,0.1,envy hatred malice and uncharitableness are never so essentially detestable to my mind as when they are animated by a sense of propriety and work under the surface but for my interest in naomi and my other interest in the little love looks which i now and then surprised passing between her and ambrose i should never have sat through that supper,in the hatred malice and unchertalness are never so essentially detestable to my mind as when they are animated by the sense of propriety and work onto the surface but for my interest in naomi and my other interest in the little love looks which i now and then surprised passing between her and ambrose i should never quite understand that,0.14516129032258066,0.10982658959537572,0.0
mix_librispeech_05959,5,0.1,from rubbing shoulders with scientists in our little universe by the botanical gardens the boy had come to know a thing or 2,from rubbing shoulders with scientists in our little universe by the botanical gardens the boy had come to know a thing or 2,0.0,0.0,0.0
mix_librispeech_03876,5,0.5,here she would stay comforted and soothed among the lovely plants and rich exotics rejoicing the heart of old turner the gardener who since polly is 1st rapturous entrance had taken her into his good graces for all time,here she would stay comforted and soothing among the lovely cats and rich exotics rejoicing the heart of old turner the gardener who since paul is 1st rapturous entrance had taken her into his good reasons for all time,0.10256410256410256,0.0639269406392694,0.0
mix_librispeech_11127,5,0.2,do you think so she replied with indifference,do you think so she replied within difference,0.25,0.044444444444444446,0.0
mix_librispeech_04451,5,1.0,i was hoping that if the paper on which he wrote was thin some trace of it might come through upon this polished surface no i see nothing,i was hoping that if the paper on which he wrote was dense i am tracing it might come through on this published surface no i see nothing,0.21428571428571427,0.12408759124087591,0.125
mix_librispeech_07147,5,1.0,and yet what a fine gallant lad,and yeah what are the signs of the land,1.0,0.5806451612903226,0.024390243902439025
mix_librispeech_03531,5,1.0,bartley started when hilda rang the little bell beside her dear me why did you do that,probably started when he will be wrangled a little bell beside her dear me what did you do that,0.4117647058823529,0.2441860465116279,0.0
mix_librispeech_10922,0,1.0,the cloud then shewd his golden head and his bright form emerg would,the cloud is in the shore she is killed and responded in this bright for long,1.0,0.6029411764705882,0.25
mix_librispeech_00827,0,0.2,it engenders a whole world la pegre for which read theft and a hell la pegrenne for which read hunger,it in jembers a whole world is started la pagre for which red theft and the l la pagre for which red hunger,0.5,0.25742574257425743,0.1875
mix_librispeech_09831,0,1.0,it may be that a great colorist will use his utmost force of color as a singer his full power of voice but loud or low the virtue is in both cases always in refinement never in loudness,it may be that a great color was 9 we must have used up most force of color as a singer his full power of voice double 9 but loud or low i want virtue of his entire case is all of the final never in loudness,0.5789473684210527,0.31891891891891894,0.4
mix_librispeech_07790,5,1.0,it seems the king will not consent to it,before we start talking i will be sent to a straight,1.0,0.775,0.07142857142857142
mix_librispeech_00984,0,0.5,ben zoof is most ambitious desire was to induce the captain to go with him and end his days in his much loved home and so incessantly were servadac is ears besieged with descriptions of the unparalleled beauties and advantages of this 18th arrondissement of paris that he could scarcely hear the name of montmartre without a conscious thrill of aversion,benzof is most ambitious digital was to induce the captain to go wish him and end his days in his much loved home and so incessantly we are servidaxe ears the sea with prescriptions the unparalleled beauties and advantages of this 18th hour undecimal of parents that he could scarcely hear the name of my mother with at a conscious thrill of a version,0.32786885245901637,0.14730878186968838,0.0
mix_librispeech_11197,0,0.5,the helpless worm arose and sat upon the lillys leaf and the bright cloud saild on to find his partner in the vale,the helpless woman right and proud upon the lily is leaf and the bright clouds sail to find his partner in the veil,0.391304347826087,0.21052631578947367,0.05263157894736842
mix_librispeech_07783,0,1.0,hilda is face quivered but she whispered yes i think it must have been,and the whole,1.0,0.8571428571428571,0.2
mix_librispeech_10380,0,0.2,he was the last to turn to christ,he was the last to turn the crisis,0.25,0.15151515151515152,0.0
mix_librispeech_11978,0,0.5,he moved uneasily and his chair creaked,he moved un easily and is care creepy,0.7142857142857143,0.23076923076923078,0.02857142857142857
mix_librispeech_02443,5,0.2,but in their selection of a constitution the britannulists have unfortunately allowed themselves but one deliberative assembly and hence have sprung their present difficulties,but in their selection of a constitution the britain ullists have unfortunately allowed themselves but one deliberate assembly and hence has sprung their present difficulties,0.16666666666666666,0.04,0.0
mix_librispeech_08554,5,0.3,the objection of course presents itself that expenditure on women is dress and household paraphernalia is an obvious exception to this rule but it will appear in the sequel that this exception is much more obvious than substantial,the objection of course presents itself that expenditure on women is dress and household paraphranealia is an obvious exception to this rule but it will appear in the sequel that this exception is met more obvious than substantial,0.05263157894736842,0.02608695652173913,0.0
mix_librispeech_10541,0,0.2,and then they became vexed and would have snatched your purse from us,and then they became vexed and would have snatched your purse from us,0.0,0.0,0.0
mix_librispeech_00345,0,0.1,choking with emotion leocadi made a sign to her parents that she wished to be alone with them,choking with emotion leo kedia made a sign to her parents that she wished to be alone with them,0.1111111111111111,0.043010752688172046,0.0
mix_librispeech_00814,5,1.0,every one could observe his agitation and prostration a prostration which was indeed the more remarkable since people were not accustomed to see him with his arms hanging listlessly by his side his head bewildered and his eyes with all their bright intelligence bedimmed,everyone could observe his agitation and frustration a frustration which was indeed the more remarkable since people were not accustomed to see him with his arms and mistletely by his side his head bewildered and his eyes with all their bright intelligence be dimmed,0.18181818181818182,0.05185185185185185,0.0
mix_librispeech_06166,5,0.4,ay and show you some pretty tricks,i will show you some pretty tricks,0.2857142857142857,0.17647058823529413,0.047619047619047616
mix_librispeech_11693,5,1.0,you speak like an educated person said beth wonderingly where is your home,you speak like an educated person said beth one recently where is your home,0.15384615384615385,0.0945945945945946,0.0
mix_librispeech_12220,0,0.5,whenever the sense of familiarity occurs without a definite object it leads us to search the environment until we are satisfied that we have found the appropriate object which leads us to the judgment this is familiar,whenever the sense of familiarity occur that is about a definite object it leads us to search the environment until we are satisfied with the double yup project object which leads us to judge this is familiar,0.32432432432432434,0.18433179723502305,0.1
mix_librispeech_05779,0,0.3,yes we are certainly i replied evasively but after we make a detour,yes we are 0 i replied a face of this but after we make the tour,0.5384615384615384,0.3880597014925373,0.05
mix_librispeech_02116,5,0.4,no good my dear watson,no good my dear watson,0.0,0.0,0.0
mix_librispeech_10026,0,0.5,at the conclusion of the banquet which was served at 50 clock the king entered his cabinet where his tailors were awaiting him for the purpose of trying on the celebrated costume representing spring which was the result of so much imagination and had cost so many efforts of thought to the designers and ornament workers of the court,at the conclusion of the banquet which was served by a lot the king entered his cabinet where his tailors were awaiting him for the purpose of trying on the celebrated costume representing spring which was the result of so much imagination and the cost so many efforts of thought to the designers and ornament workers of the court,0.06779661016949153,0.03003003003003003,0.0
mix_librispeech_00793,0,0.4,holmes held out a small chip with the letters n n and a space of clear wood after them you see,homes how to small chip with the letters and the space of clear wood after them,0.42857142857142855,0.24468085106382978,0.0
mix_librispeech_12428,0,0.4,i am stiff with long sitting he said i itch for a fight i turned to the farmer,i am still with long sitting he said i hitch for a fight i turn with the farmer,0.2222222222222222,0.08974358974358974,0.0
mix_librispeech_06898,0,0.3,i come now to the other characteristic which memory images must have in order to account for our knowledge of the past,i come now to the other character as he lived in which memory images must have or swim to account for our knowledge of the past,0.3181818181818182,0.1694915254237288,0.07692307692307693
mix_librispeech_02674,5,0.5,there is no class and no country that has yielded so abjectly before the pressure of physical want as to deny themselves all gratification of this higher or spiritual need,there is no class and no printed that has yielded so objectively before the pressure of physical want as to deny themselves all gratification of this higher or spiritual need,0.06666666666666667,0.05263157894736842,0.0
mix_librispeech_00094,0,0.2,of mark wylder i say this his name has been for years hateful to me and recently it has become frightful and you will promise me simply this that you will never ask me to speak again about him,of mark wilder i say he took a roughly in his own his name has been for years hateful to me and recently it has become frightful he took a new promise me simply this that you will never ask me to speak again about him,0.3076923076923077,0.1875,0.4
mix_librispeech_04225,0,0.5,he stood still in deference to their calls and parried their banter with easy words,so she goes for the little indefference to their calls and parried their banter with miguel rush,0.6,0.3493975903614458,0.3
mix_librispeech_03756,0,0.1,i am stiff with long sitting he said i itch for a fight i turned to the farmer,i am stiff with long sitting he said i edge for a fight i turned to the farmer,0.05555555555555555,0.05128205128205128,0.0
mix_librispeech_02891,5,0.4,your letter has given me great pleasure and i should not forgive myself if i did not tell you so,your letter has given me great pleasure and i should not forgive myself if i did not tell you so,0.0,0.0,0.0
mix_librispeech_02371,0,0.4,for a full hour he had paced up and down waiting but he could wait no longer,for a full hour he paced up and down waiting but he could wait no longer,0.058823529411764705,0.05263157894736842,0.0
mix_librispeech_11728,0,0.2,alexander did not sit down,alexander did not sit down,0.0,0.0,0.0
mix_librispeech_03228,5,1.0,how long would it take him to do that using every possible contraction a quarter of an hour not less,how long would it take him to do that using every possible contraction in a quarter of an hour or less,0.1,0.05,0.0
mix_librispeech_07863,5,0.1,he soon foresaw that still greater economy would be necessary for commercial success not alone for the larger territory opening but for the compact districts of large cities,he soon foresaw that still greater economy would be necessary for commercial success not alone for the larger territory opening but for the compact district of large cities,0.03571428571428571,0.005780346820809248,0.0
mix_librispeech_06359,0,0.2,it is unintelligible in the dark,it is unintelligible in the dark,0.0,0.0,0.0
mix_librispeech_11488,5,0.5,i never knew of but one man who could ever please him,i never knew of but one fan you could ever please him,0.16666666666666666,0.07547169811320754,0.14285714285714285
mix_librispeech_07326,5,0.5,ay me,i mean,1.0,0.8,0.0
mix_librispeech_06028,0,0.3,there is no logical impossibility in the hypothesis that the world sprang into being 5 minutes ago exactly as it then was with a population that remembered a wholly unreal past,then i know that logical impossibility and the hypothesis that the world is springing to be in 5 minutes of the night exactly as it then was with the population that remembered a very unusual and real past,0.5806451612903226,0.2840909090909091,0.16666666666666666
mix_librispeech_11045,5,1.0,but pearl who was a dauntless child after frowning stamping her foot and shaking her little hand with a variety of threatening gestures suddenly made a rush at the knot of her enemies and put them all to flight,but for all who was a do not wrest child after frowning stamping her foot and shaking her little hand with a variety of threatening gestures suddenly made a rush at the knot of her enemies and put them all to flight,0.1282051282051282,0.05714285714285714,0.0
mix_librispeech_11104,5,1.0,know then son of my heart that this fainting lady is your real bride i say real because she is the one whom your father and i have chosen for you and the portrait was a pretense,no then he will be son of my god that this painting is your real bride i say real because she is the one who you father had chosen for you it is what i wish to put myself,0.5405405405405406,0.3220338983050847,0.18421052631578946
mix_librispeech_01865,5,0.1,not once did he comment on the length or the hardships of a journey,not once did he comment on the length or the hardship of the journey,0.14285714285714285,0.05970149253731343,0.0
mix_librispeech_04612,5,1.0,be not so foolish friend said fitzooth crossly,be not so affo lish friend said vincent was cross leaved,0.75,0.391304347826087,0.0
mix_librispeech_10049,0,0.5,i took 5 great bracelets of gold from our treasure chest and gave them to him,i took 5 great bringsers of gold from our treasure chest and gave them to them,0.125,0.09090909090909091,0.0
mix_librispeech_02645,5,0.5,yes so they said but that would i think have been worse,yes so they said that you would i think have you watched,0.3333333333333333,0.2909090909090909,0.09090909090909091
mix_librispeech_02243,5,0.3,mister edison was a leader far ahead of the time,mister edison was a leader far ahead of the time,0.0,0.0,0.0
mix_librispeech_05373,0,1.0,my men laughed yes a stingy host,by now,1.0,0.875,0.0
mix_librispeech_02336,0,0.1,how brown you have got since you came home i wish i had an athlete to mow my orchard,how brown you have got since you came home i wish i had an athlete to mow my orchard,0.0,0.0,0.0
mix_librispeech_00950,5,0.5,how strange it seemed to the sad woman as she watched the growth and the beauty that became every day more brilliant and the intelligence that threw its quivering sunshine over the tiny features of this child,how strange it is the out to the sad woman as she watched the growth and the beauty that became every day more brilliant and the intelligence that threw its quivering sunshine over the tiny features of this child,0.08108108108108109,0.038461538461538464,0.0
mix_librispeech_11260,5,0.2,so it seems to me,so it seems to me,0.0,0.0,0.0
mix_librispeech_01120,0,0.4,it was a pain to see them and a sword like pain to see the signs of adolescence that made repellent their pitiable nakedness,it was a pain to see them and a sword like pain to see the signs of adolescents that made repellent their pit yabal nakedness,0.125,0.04838709677419355,0.0
mix_librispeech_10789,0,1.0,said she pointing to the playthings see,said yeah pointing for happily a frightened her see,0.8571428571428571,0.6410256410256411,0.2222222222222222
mix_librispeech_02204,5,0.2,very much of squalor and discomfort will be endured before the last trinket or the last pretense of pecuniary decency is put away,very much of squall around discomfort will be endured before the last intense of pecuniary decencies put away,0.391304347826087,0.2248062015503876,0.0
mix_librispeech_00419,5,0.4,steam up and canvas spread the schooner started eastwards,steam up and canvas spread the scooner started evening,0.2222222222222222,0.15789473684210525,0.0
mix_librispeech_00922,0,1.0,it is by no means always reliable almost everybody has at some time experienced the well known illusion that all that is happening now happened before at some time,it is by no means always reliable almost everybody has at some time experienced the well known illusion that all that is happening now happened before at some time,0.0,0.0,0.0
mix_librispeech_09446,0,0.5,what is the meaning of this thought the tree,what is the talent of this,0.4444444444444444,0.5,0.0
mix_librispeech_08669,5,1.0,to day i shouted,today i shall,0.75,0.375,0.0
mix_librispeech_10227,5,0.4,for a person to possess knowledge is not enough,for a person to possess knowledge is not enough,0.0,0.0,0.0
mix_librispeech_05408,5,0.5,then they started on again and 2 hours later came in sight of the house of doctor pipt,then they started on the end it is run through hours later came outside of the house of donner griff,0.5555555555555556,0.4069767441860465,0.041666666666666664
mix_librispeech_05788,5,0.2,we want to know mister gilchrist how you an honorable man ever came to commit such an action as that of yesterday,we want to know mister gilchrist how you and honorable man ever came with emmys such an action as that of yesterday,0.13636363636363635,0.07079646017699115,0.0
mix_librispeech_05742,0,0.1,there cannot be a doubt he received you kindly for in fact you returned without his permission,there cannot be a doubt he received you kindly for in fact you returned without his permission,0.0,0.0,0.0
mix_librispeech_07667,0,0.4,the revelation of his love lighted and brightened slowly till it flamed like a sunrise over him and left him in burning wonder,the revelation of his love hiding brightened slowly to let things to touch us sunrise over him and left him in burn on wonder,0.43478260869565216,0.24603174603174602,0.07692307692307693
mix_librispeech_05567,0,0.1,no sir certainly not,no sir certainly not,0.0,0.0,0.0
mix_librispeech_08135,0,0.1,the world brands this a pernicious doctrine,the world brands this a pernicious doctrine,0.0,0.0,0.0
mix_librispeech_01202,5,0.2,doubts now arose and some discussion followed whether or not it was desirable for ben zoof to accompany his master,doubts now arose and some discussion followed whether or not it was desirable for ben zuf to accompany his master,0.05,0.017543859649122806,0.0
mix_librispeech_10818,0,1.0,you are acute,you be hard,0.6666666666666666,0.5384615384615384,0.0
mix_librispeech_05765,0,1.0,at last he came out of them and wiped his face vigorously,that is the amount of that i like the best,0.9166666666666666,0.5964912280701754,0.125
mix_librispeech_08389,5,0.4,will you forgive me now,will you forgive me now,0.0,0.0,0.0
mix_librispeech_01970,0,0.3,and in this last action he falls into the classic sin of pride,and in this last action he falls into the truest extent of pride,0.15384615384615385,0.1774193548387097,0.0
mix_librispeech_11302,0,0.2,the wood flamed up splendidly under the large brewing copper and it sighed so deeply,the wood flamed up splendidly under the large brooch of her and its side so deeply,0.3333333333333333,0.15476190476190477,0.10526315789473684
mix_librispeech_04018,0,0.2,and meantime i know the greatness of jehovah i acknowledge the perfection of his word i adore the purity of the christian faith my theory is right my practice horribly wrong,and meantime i know the great nation to hold the i acknowledge the perfection of his work i adore the purity of the christian faith my theory is right my practice horribly wrong,0.1935483870967742,0.08670520231213873,0.0
mix_librispeech_10343,5,0.4,i sit beneath thy looks as children do in the noon sun with souls that tremble through their happy eyelids from an unaverred yet prodigal inward joy,i see that any thy looks as children do in the noon sun with souls that tremble through their happy eyelids from an un avert yet prodigal in the joy,0.25925925925925924,0.11486486486486487,0.0
mix_librispeech_03687,0,0.5,very much of squalor and discomfort will be endured before the last trinket or the last pretense of pecuniary decency is put away,very much of squall around the ground that will be interviewed before the last drink it was the likes of the parents of the junior adc and sees put away,0.782608695652174,0.46511627906976744,0.06666666666666667
mix_librispeech_01997,5,0.3,i shudder as i recall these monsters to my remembrance,i shatter as i recall these monsters to my remembrance,0.1,0.05555555555555555,0.0
mix_librispeech_04033,5,0.4,never mind now interposed the captain we will talk of that by and by,never mind now interpose the captain we will talk of that brian bye,0.2857142857142857,0.07352941176470588,0.0
mix_librispeech_11246,5,0.5,forthwith all ran to the opening of the tent to see what might be amiss but master will who peeped out 1st needed no more than one glance,4th with all rants to the opening of the turn to see what might be a miss but master will who peed out 1st he did not know more than one glance,0.39285714285714285,0.15328467153284672,0.045454545454545456
mix_librispeech_01248,0,0.1,all the territorial dignitaries were present governor shannon presided john calhoun the surveyor general made the principal speech a denunciation of the abolitionists supporting the topeka movement chief justice lecompte dignified the occasion with approving remarks,all the territorial dignitaries were present governor shannon presided john kahun the surveyor general made the principal speech a denunciation of the abolitionist supporting the tipeek movement chief justice lacanf dignified the occasion with approving remarks,0.1111111111111111,0.04887218045112782,0.0
mix_librispeech_02192,0,0.3,this is the explanation of the shallows which are found in that part of the atlantic ocean,this is the explanation of the shadows which i found in that part of the atlantic ocean,0.11764705882352941,0.05555555555555555,0.0
mix_librispeech_02712,5,0.3,whatever lord chelford said miss brandon received it very graciously and even with a momentary smile,whatever lord chelford said miss brandon received it very graciously and even with a momentary smile,0.0,0.0,0.0
mix_librispeech_09184,0,0.1,on huge silver platters were pyramids of tarts and cakes and red wine sparkled in glittering decanters,on huge silver platters were pyramids of tarts and cakes and red wine sparkled in glittering decanters,0.0,0.0,0.0
mix_librispeech_02190,5,0.3,he was soft hearted and impetuous said beth and being in love he did not stop to count the cost,he was softhearted and impatuous said beth and being in love he did not stop to count the cars,0.2,0.05263157894736842,0.0
mix_librispeech_04670,0,0.3,they snuffed about the fir tree and rustled among the branches,they snuffed about the fir tree and rustled among branches,0.09090909090909091,0.06451612903225806,0.0
mix_librispeech_05142,5,1.0,i am afraid i do not know much about the land of oz,i am afraid i just feel much better than the others,0.6153846153846154,0.49019607843137253,0.0
mix_librispeech_05984,5,0.5,the strange woman and her passionate sentence that rang out so sharply had frightened them both,the strange woman and her passionate sentence that rang out so sharply had frightened them both,0.0,0.0,0.0
mix_librispeech_06565,5,0.4,they are all sketches made about the villa d este you see,they are all sketches made about the villain,0.4166666666666667,0.2631578947368421,0.0
mix_librispeech_07804,5,0.5,miss woodley was too little versed in the subject to know this would have been not to love at all at least not to the extent of breaking through engagements and all the various obstacles that still militated against their union,miss woodley was too little girth in the subject to know this would have been not to love at all at least not to the extent of breaking through engagements and all the various obstacles that still meditated across their union,0.07317073170731707,0.05286343612334802,0.0
mix_librispeech_06943,5,0.2,is it better than anywhere else,is it better than anywhere else,0.0,0.0,0.0
mix_librispeech_09510,5,0.4,one day when the boy was sent by his grandfather with a message to a relation he passed along a street in which there was a great concourse of horsemen,one day when the boy was sent by his grandson to the message to a relation he passed along a street in which there was a great con pours of horsemen,0.16666666666666666,0.08609271523178808,0.0
mix_librispeech_10055,0,0.4,bragelonne watched for some time the conduct of the 2 lovers listened to the loud and uncivil slumbers of manicamp who snored as imperiously as though he was wearing his blue and gold instead of his violet suit,brell along for a 2nd time the conduct of the 2 lovers listen to the loud and unsubless slumber of manicamp who snored as empirously as though he was wearing his blue gold instead of his violet suit,0.23684210526315788,0.1619047619047619,0.0625
mix_librispeech_10535,0,0.2,i know no such place said the tree,i know no such place,0.375,0.4117647058823529,0.0
mix_librispeech_10641,0,0.2,the king seemed only pleased with every one present,the king seemed only pleased with everyone present,0.2222222222222222,0.0196078431372549,0.0
mix_librispeech_02136,5,0.2,what is slang,what is slang,0.0,0.0,0.0
mix_librispeech_01065,0,0.2,no good my dear watson,no good my dear watson,0.0,0.0,0.0
mix_librispeech_00600,0,0.3,there was no man sir,there was no man sir,0.0,0.0,0.0
mix_librispeech_04227,0,0.4,henry lord with the degree of ph d to his credit had been professor of zoology at a new england college but had resigned his post in order to write a series of scientific text books,and one more the one that he asked to his credit had been professor of zoology at a new england college but had resigned his post in order to run his political public tax books,0.3611111111111111,0.26519337016574585,0.05555555555555555
mix_librispeech_10813,5,1.0,the princess sat down under a blue canopy with bouquets of roses and she let anders sit in a golden chair by her side,the princess sat down under the blue canvas with bouquet is erosive and she let anders sit in a golden chair by her side,0.20833333333333334,0.1111111111111111,0.0
mix_librispeech_07577,5,0.4,the former boolooroo groaned,to form our boulevard blue and blue,1.75,0.7857142857142857,0.030303030303030304
mix_librispeech_00077,0,0.3,how strange it seemed to the sad woman as she watched the growth and the beauty that became every day more brilliant and the intelligence that threw its quivering sunshine over the tiny features of this child,how strange it seemed to the sad moment of shiwach the growth and the beauty that became every day more brilliant and the intelligence that threw its quivering sunshine on the tiny features of this child,0.13513513513513514,0.0625,0.0
mix_librispeech_07546,5,0.5,come come returned hawkeye uncasing his honest countenance the better to assure the wavering confidence of his companion you may see a skin which if it be not as white as one of the gentle ones has no tinge of red to it that the winds of the heaven and the sun have not bestowed now let us to business,come come return haka and casing his honest countenance the better to assure the wavering confidence of his companion you may see a skin which if it be not as white as one of the gentle ones has no tinge of red to it that the winds of the heaven and the sun have not bestowed now let us to business,0.06666666666666667,0.029900332225913623,0.0
mix_librispeech_02898,5,0.4,her face was an enigma for it inspired everyone with the warmest sympathy and yet if you examined it attentively there was not one beautiful feature she could not be called handsome but no one could have thought her ugly,her face was an enigma for it inspired everyone with the warmest serpently and yet if you examined it attentively there was not one beautiful feature she could not be called handsome but no one could have thought her ugly,0.025,0.022727272727272728,0.0
mix_librispeech_04820,5,0.5,i take this as my answer and i leave the professor to bite his lips with impatience,i take this as my answer and i leave the professor to buy his lips with impatience,0.058823529411764705,0.03614457831325301,0.0
mix_librispeech_09506,5,0.1,they approached the door which was of an arched form and flanked on each side by a narrow tower or projection of the edifice in both of which were lattice windows the wooden shutters to close over them at need,they approached the door which was of an arched form and flanked on each side by a narrow tower or projection of the edifice in both of which were lattice windows the wooden shutters to close over them at need,0.0,0.0,0.0
mix_librispeech_11621,0,0.5,he clasped his hands on the desk and said,he clasped his hands on the desk and said,0.0,0.0,0.0
mix_librispeech_06413,0,0.3,keep away if you wish when have i ever followed you,keep away if you wish when have i ever followed here,0.09090909090909091,0.0784313725490196,0.0
mix_librispeech_09444,0,0.5,always irritable cold indifferent he had grown rapidly more so as years went on,always here at a cold in different he had grown rapidly more so as he was went on,0.5,0.1518987341772152,0.0
mix_librispeech_09064,5,0.1,alexander leaned forward and warmed his hands before the blaze,alexander leaned forward and warmed his hands before the blaze,0.0,0.0,0.0
mix_librispeech_08007,0,0.5,0 my lord cried miss woodley with a most forcible accent you are the last person on earth she would pardon me for entrusting,i am not going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am going to be a new one i am,16.416666666666668,10.096774193548388,0.05714285714285714
mix_librispeech_05468,5,0.5,i entered and i took you into my confidence as to the suggestions of the side table,i entered and i took you into my confidence as to the suggestions of the side table,0.0,0.0,0.0
